Persona:int,AnoNac:int,Sexo:int
10001001,1958,1
10001002,1956,2
10001003,1982,2
10002001,1954,1
10002002,1961,2
10002003,1977,1
10002004,1981,1
10002005,1995,1
10003001,1933,1
10004101,1945,2
10004102,1965,1
10004103,1971,2
10004104,1991,1
10004105,1993,1
10005201,1966,1
10005202,1987,2
10005203,2006,2
10006101,1952,2
10006102,1943,1
10006103,1989,2
10007001,1959,1
10008201,1958,2
10009001,1930,2
10009002,1961,2
10009003,1972,1
10009004,1972,2
10009005,1992,2
10009006,2004,1
10010201,1947,1
10010202,1984,2
10010203,1981,1
10010204,1949,2
10011201,1957,1
10011202,1962,2
10011203,1991,1
10014001,1950,2
10014002,1986,1
10014003,1952,1
10016101,1956,2
10017001,1959,1
10017002,1956,2
10017003,1988,2
10017004,1994,2
10017005,1979,1
10018001,1957,1
10018002,1961,2
10018003,1991,1
10018004,2001,1
10019201,1939,2
10020001,1969,1
10020002,1982,2
10020003,2001,2
10022201,1977,1
10022202,1968,2
10022203,1996,2
10022204,1991,1
10023201,1975,1
10024201,1958,2
10024202,1986,2
10024203,1958,1
10024204,1988,1
10024205,1989,2
10025201,1949,1
10025202,1950,2
10026201,1941,1
10026202,1941,2
10027001,1956,2
10027002,1982,1
10027003,1990,2
10028101,1986,2
10028102,2005,1
10029001,1945,1
10029002,1948,2
10030201,1965,1
10030202,1972,2
10030203,1994,2
10030204,1998,2
10030205,2010,2
10031201,1961,1
10031202,1966,2
10031203,2006,2
10031204,1988,1
10032201,1947,2
10032202,1945,1
10033201,1963,1
10033202,1975,2
10033203,1996,1
10033204,2006,2
10034201,1960,1
10034202,1959,2
10034203,1990,1
10034204,1986,1
10035001,1983,2
10035002,1983,1
10036001,1944,2
10036002,1941,1
10037001,1959,2
10037002,1987,2
10037003,1981,1
10037201,1941,2
10038201,1950,1
10038202,1950,2
10039201,1964,2
10039202,1972,1
10039203,1995,2
10039204,1998,1
10039205,2008,1
10040201,1932,1
10040202,1932,2
10040203,1977,1
10041301,1964,1
10041302,1987,2
10042001,1950,1
10042002,1951,2
10045201,1956,2
10045202,1989,1
10045203,1992,2
10045204,2000,2
10045205,1959,1
10046101,1950,1
10046102,1955,2
10046103,1974,1
10046104,1980,2
10046105,2005,1
10047201,1968,2
10047202,1991,2
10048201,1966,2
10048202,1992,2
10048203,1990,1
10049001,1971,2
10049002,1931,1
10050101,1950,1
10050102,1960,2
10050103,1982,1
10050104,1984,1
10050105,2002,2
10050106,2005,1
10050107,2010,1
10051001,1954,1
10051002,1957,2
10051003,1981,1
10051004,1985,1
10051005,1984,1
10052201,1943,1
10052202,1940,2
10052203,1975,2
10052204,1997,1
10052205,2004,1
10053201,1943,1
10054101,1958,1
10054102,1959,2
10054103,1998,1
10054104,1977,1
10056201,1960,2
10056202,1993,1
10057101,1967,1
10057102,1970,2
10057103,1989,2
10057104,2006,1
10057105,2005,2
10058201,1947,2
10058202,1988,1
10059201,1969,2
10059202,2001,2
10059203,1990,2
10060101,1981,1
10060102,1987,2
10060103,2006,2
10060104,2010,1
10061101,1974,1
10061102,1981,2
10061103,2006,1
10061104,1958,2
10061105,1957,1
10062001,1969,2
10062002,1963,1
10062003,1995,1
10062004,1996,1
10062005,1999,2
10062006,2007,2
10062007,2007,1
10063101,1961,2
10063102,1958,1
10064201,1979,2
10064202,1999,2
10064203,2006,1
10064204,2009,2
10065101,1935,2
10066101,1961,2
10066102,1980,1
10067201,1965,2
10067202,1986,1
10067203,1984,2
10067204,1995,2
10067205,2004,2
10067206,2007,1
10068101,1939,2
10068102,1960,2
10068103,1958,1
10068104,1985,2
10069201,1949,2
10069202,1945,2
10070201,1947,1
10070202,1961,2
10071201,1963,1
10071202,1963,2
10071203,1997,1
10071204,1994,1
10072001,1967,1
10072002,1972,2
10072003,1991,2
10072004,2004,2
10072005,2011,1
10072006,2013,2
10073201,1974,1
10073202,1971,2
10073203,1995,2
10073204,2004,2
10073205,2003,2
10073206,2004,2
10074001,1949,2
10075201,1969,1
10075202,1971,2
10075203,1994,2
10076001,1974,1
10076002,1974,2
10076003,1995,2
10076004,2003,1
10077201,1966,1
10077202,1972,2
10077203,1997,2
10078201,1960,1
10078202,2008,2
10079201,1960,1
10079202,1966,2
10079203,1994,2
10079204,2008,1
10080201,1964,2
10080202,1991,2
10080203,1988,1
10081001,1943,1
10081002,1948,2
10081003,1993,1
10081004,1993,2
10081005,1988,1
10082201,1982,2
10082202,2006,2
10082203,1988,2
10083201,1993,2
10083202,1967,1
10083203,1991,1
10083204,2007,1
10084301,1944,2
10085001,1967,1
10085002,1969,2
10085003,1993,1
10085004,1995,1
10085005,1996,2
10086201,1965,1
10086202,1959,2
10086203,1997,1
10087201,1971,1
10088201,1944,1
10088202,1920,2
10089001,1970,1
10089002,1978,2
10089003,1998,2
10089004,2000,2
10089005,2010,1
10090201,1975,2
10090202,1978,1
10090203,1995,2
10090204,2004,2
10090205,2010,2
10091201,1965,2
10091202,1994,1
10091203,1982,2
10091204,1987,1
10091205,1992,1
10091206,2011,1
10092201,1936,1
10093001,1972,1
10093002,1976,2
10093003,1993,1
10093004,2001,2
10093005,2007,2
10094001,1978,2
10094002,1997,2
10094003,2002,1
10096001,1945,2
10097201,1962,1
10097202,1964,2
10097203,1988,2
10097204,1992,2
10097205,1993,1
10097206,1997,1
10097207,1998,2
10098001,1932,1
10098002,1938,2
10098003,1962,1
10098004,1976,1
10098005,1978,1
10098006,1986,1
10098007,1998,2
10099001,1977,1
10099002,1985,2
10099003,2008,2
10099004,2012,2
10100201,1965,1
10100202,1970,2
10100203,1994,1
10101201,1965,2
10101202,1997,2
10102101,1953,2
10102102,1987,1
10103001,1972,2
10103002,1990,2
10103003,1991,2
10103004,1965,1
10104101,1938,2
10105101,1955,1
10105102,1944,2
10105103,2002,1
10106201,1974,2
10106202,1970,1
10107001,1966,2
10107002,1964,1
10107003,1998,1
10107004,2007,2
10108001,1976,2
10108002,2001,1
10108003,2012,1
10109101,1975,1
10109102,1974,2
10109103,2013,1
10110201,1959,1
10110202,1965,2
10110203,1988,2
10110204,2000,2
10111101,1945,1
10111102,1950,2
10112001,1995,2
10112002,1967,2
10114201,1968,2
10114202,1993,2
10114203,1992,2
10115001,1920,1
10115002,1945,2
10116201,1981,1
10117101,1960,1
10117102,1963,2
10117103,1994,1
10118001,1930,2
10119001,1959,2
10119002,1983,1
10119003,1991,2
10120201,1961,2
10120202,1979,1
10120203,1994,2
10120204,1993,2
10120205,1970,1
10120206,1939,1
10121001,1972,1
10121002,1973,2
10121003,1993,1
10121004,2001,1
10121005,1993,1
10122001,1959,2
10122002,1984,1
10122003,1998,1
10122004,1989,1
10122005,1989,1
10122006,1940,2
10123101,1988,1
10123102,1988,2
10123103,2008,2
10124101,1933,2
10124102,1989,2
10125001,1961,1
10125002,1965,2
10125003,1985,1
10125004,1987,1
10125005,1990,2
10125006,1993,2
10125007,2002,2
10125008,2008,2
10125009,1959,1
10125010,1960,1
10126201,1976,1
10126202,1984,2
10126203,2011,2
10127001,1931,1
10127002,1948,2
10127003,1990,1
10128201,1930,2
10129001,1952,2
10129002,1968,1
10129003,1975,2
10129004,1993,1
10129005,2003,1
10130001,1956,2
10130002,1994,1
10130003,1997,1
10131001,1947,1
10132001,1946,1
10132002,1947,2
10132003,1997,2
10133201,1964,1
10133202,1971,2
10134001,1936,2
10134002,1965,1
10134003,1970,2
10134004,1991,1
10134005,2007,2
10135101,1963,1
10135102,1991,2
10135103,1964,2
10135104,1992,1
10136001,1964,1
10136002,1965,2
10136003,1998,2
10137201,1988,1
10137202,1988,2
10137203,2008,1
10138201,1945,1
10138202,1944,2
10138203,1975,1
10138204,1981,2
10139201,1961,2
10139202,1980,2
10139203,1984,1
10139204,2008,1
10140101,1949,2
10141201,1957,1
10141202,1964,2
10141203,1982,2
10141204,1992,1
10142001,1935,1
10142002,1938,2
10143201,1943,1
10144201,1936,2
10144202,1962,2
10144203,1996,1
10145001,1988,1
10145002,1940,2
10145003,1969,2
10145004,1978,2
10146201,1972,2
10146202,1989,1
10146203,2003,2
10146204,1988,2
10146205,2008,1
10147101,1946,1
10147102,1939,2
10147103,1951,2
10147104,1986,2
10148001,1969,1
10148002,1967,2
10148003,1989,1
10148004,1992,2
10149001,1918,2
10150201,1934,2
10150202,1976,2
10150203,1994,1
10151201,1966,1
10151202,1976,2
10151203,1996,1
10151204,2003,1
10152001,1960,1
10152002,1957,2
10153001,1966,2
10153002,1962,1
10153003,1996,2
10153004,1988,2
10153005,2004,2
10154101,1966,1
10154102,1968,2
10154103,2004,1
10154104,2002,1
10154201,1939,2
10154202,1958,1
10155101,1970,2
10155102,1967,1
10155103,1999,1
10155104,2000,2
10156201,1968,2
10156202,1992,1
10156203,1990,2
10156204,2001,2
10157201,1967,1
10157202,1972,2
10157203,1995,2
10157204,1999,1
10157205,2010,2
10157206,2012,2
10158101,1952,1
10159001,1961,1
10159002,1960,2
10159003,1984,1
10159004,1990,1
10160201,1965,1
10160202,1980,2
10160203,2002,1
10160204,2012,2
10161001,1975,1
10161002,1970,2
10161003,1995,2
10161004,1998,1
10161005,2002,1
10162101,1954,1
10162102,1958,2
10162103,1981,1
10162104,1995,1
10162105,1991,1
10163101,1940,2
10163102,1941,2
10164001,1984,1
10164002,1984,2
10164003,2005,2
10164004,2013,2
10165001,1950,1
10165002,1985,1
10166001,1946,2
10166002,1956,1
10166003,1985,1
10166004,1965,1
10167101,1947,1
10167102,1960,2
10168001,1980,1
10168002,1979,2
10168003,2012,2
10169001,1946,1
10169002,1943,2
10170101,1970,2
10170102,1970,1
10170103,1996,1
10170104,2000,2
10171101,1958,2
10171102,1981,1
10171103,1977,1
10171104,1983,2
10172101,1943,1
10172102,1942,2
10172103,1966,2
10173001,1957,1
10173002,1959,2
10173003,1993,2
10173004,1994,2
10174101,1960,2
10174102,1959,1
10174103,1991,1
10174104,1999,2
10174105,1922,2
10175101,1953,2
10175102,1941,1
10176101,1985,2
10176102,1969,1
10176103,1985,1
10176104,2012,1
10176105,2002,2
10177001,1960,1
10177002,1965,2
10177003,2001,1
10178101,1937,2
10178102,1995,1
10179001,1953,1
10179002,1953,2
10179003,1974,1
10180001,1978,1
10180002,1975,2
10180003,1997,1
10180004,2009,1
10181001,1979,1
10181002,1981,2
10181003,1999,1
10182101,1977,2
10182102,1997,2
10182103,1966,1
10182104,1971,2
10182105,1992,2
10182106,1994,2
10182107,1996,2
10182108,1998,1
10182109,2000,1
10183201,1962,1
10183202,1967,2
10183203,1931,2
10183204,1991,2
10183205,1998,2
10184101,1972,2
10184102,1968,1
10184103,1990,1
10184104,1994,2
10184105,1992,2
10184106,2010,1
10184107,2011,1
10187101,1953,2
10187102,1953,1
10187103,1988,2
10187104,1993,1
10188001,1955,2
10188002,1991,1
10189001,1952,1
10190301,1969,1
10190302,1974,2
10190303,1998,2
10190304,2004,1
10190305,2010,1
10191101,1984,2
10191102,2005,2
10192001,1948,1
10193001,1962,1
10193002,1993,1
10194101,1948,1
10194102,1951,2
10194103,1971,2
10194104,2007,2
10194105,1991,2
10194106,2012,2
10195001,1940,1
10195002,1950,2
10196101,1933,2
10196102,1929,1
10196103,1945,1
10197101,1973,1
10197102,1973,2
10197103,1994,2
10197104,1997,1
10197105,2010,2
10198001,1938,1
10198002,1948,2
10199001,1960,2
10199002,1977,1
10199003,1992,1
10199004,1999,2
10200001,1984,1
10200002,1988,2
10200003,2004,1
10201101,1972,2
10201102,1970,1
10201103,1998,2
10201104,2001,2
10201105,2008,2
10202001,1966,1
10202002,1934,2
10202003,1978,2
10203101,1943,2
10203102,1937,1
10204101,1950,1
10205101,1938,1
10205102,1942,2
10205103,1982,2
10205104,2004,2
10206101,1986,2
10206102,1984,1
10206103,2006,1
10207101,1973,2
10207102,1966,1
10207103,1995,2
10207104,1998,2
10207105,2006,1
10208101,1968,1
10208102,1964,2
10208103,1994,2
10208104,1997,1
10208105,2001,2
10209201,1986,2
10209202,2006,2
10209203,2008,2
10209204,1953,1
10209205,1988,1
10210001,1961,2
10210002,1990,2
10210003,1993,2
10210004,2008,1
10210005,2011,2
10211001,1962,1
10211002,1959,2
10211003,1991,1
10211004,2000,1
10212001,1960,1
10212002,1964,2
10212003,1993,1
10213201,1939,1
10213202,1939,2
10213203,1964,2
10213204,1965,1
10213205,1987,1
10213206,2001,2
10214001,1967,1
10214002,1969,2
10214003,1990,2
10214004,1995,1
10215001,1956,2
10215002,1946,1
10216001,1958,2
10216002,1956,1
10216003,1989,2
10216101,1961,2
10216102,1965,1
10216201,1976,1
10216202,1979,2
10216203,1996,1
10216204,2008,2
10220101,1928,2
10220102,1933,1
10221001,1959,2
10221002,1985,2
10221003,1986,2
10221004,2002,1
10221005,1989,1
10221006,1963,1
10222101,1948,1
10222102,1990,1
10222103,1961,2
10222104,1996,2
10222105,1980,1
10223001,1962,1
10223002,1960,2
10223003,1997,1
10224101,1972,1
10224102,1974,2
10224103,1999,2
10224104,2001,2
10225001,1933,2
10226101,1956,2
10226102,1987,2
10226103,2005,2
10230101,1970,1
10230102,1973,2
10230103,2005,2
10230104,2006,2
10231101,1969,1
10231102,1965,2
10231103,1986,2
10232001,1981,2
10232002,1983,1
10232003,1956,2
10232004,2012,1
10233101,1974,1
10233102,1970,1
10233103,1946,1
10234001,1951,1
10235001,1980,2
10235002,1978,1
10235003,1999,2
10235004,2005,1
10235005,2010,2
10236101,1959,2
10236102,1955,1
10236103,1990,2
10236104,1988,2
10236105,1996,1
10237101,1936,1
10237102,1936,2
10238001,1954,1
10238002,1946,2
10238003,1985,1
10239101,1951,1
10239102,1961,2
10239103,1989,1
10240201,1962,1
10240202,1967,2
10240203,1987,2
10240204,1991,1
10241001,1962,1
10241002,1958,2
10241003,1994,1
10242001,1990,1
10242002,1956,2
10242003,1976,1
10242004,1977,1
10243201,1968,1
10243202,1970,2
10243203,2000,2
10244001,1960,2
10244002,1985,2
10245001,1960,1
10245002,1956,2
10246101,1957,1
10246102,1958,2
10246103,1993,2
10247101,1989,1
10247102,1988,2
10247103,2007,2
10248001,1953,1
10248002,1952,2
10248003,1976,1
10248004,1980,2
10248005,2000,1
10248006,2002,1
10248007,2012,1
10249101,1964,1
10249102,1976,2
10249103,1997,1
10249104,2000,1
10250101,1931,1
10250102,1942,2
10250103,1963,2
10250104,1994,1
10251001,1956,1
10251002,1957,2
10251003,1990,1
10251004,1995,1
10252101,1983,2
10252102,1976,1
10252103,2006,2
10253001,1955,1
10253002,1959,2
10253003,1983,2
10253004,1985,1
10253005,2002,2
10254201,1923,2
10254202,1977,2
10254203,2002,2
10255001,1949,1
10255002,1952,2
10255003,1971,1
10255004,1983,2
10255005,1985,1
10255006,2000,1
10256101,1955,2
10256102,1953,2
10257001,1975,1
10257002,1976,2
10257003,1996,1
10257004,2006,1
10257005,1945,2
10258101,1959,1
10258102,1961,2
10258103,1988,1
10258104,1991,2
10258105,2001,2
10259101,1980,1
10259102,2011,1
10260201,1960,1
10260202,1960,2
10260203,1985,1
10260204,1990,2
10261001,1948,1
10261002,1940,2
10261003,1985,1
10261004,1987,2
10261005,2008,2
10262001,1956,1
10263001,1954,1
10263002,1949,2
10263003,1981,2
10263004,2003,2
10263005,2008,1
10263006,2011,2
10264001,1960,1
10264002,1938,1
10265001,1968,2
10265002,1995,2
10265003,1996,1
10265004,2007,1
10266101,1948,2
10267101,1959,1
10268101,1971,2
10268102,1967,1
10268103,1996,2
10269101,1933,2
10269102,1932,1
10269103,1946,1
10270101,1943,2
10271001,1974,1
10271002,1975,2
10271003,1993,2
10271004,2004,2
10272101,1941,1
10272102,1950,2
10272103,1977,1
10273001,1951,1
10273002,1951,2
10273003,1978,2
10274101,1945,1
10274102,1951,2
10274103,1973,2
10275101,1989,1
10275102,1971,2
10275103,1998,1
10275104,1995,1
10276301,1948,2
10276302,1992,2
10277101,1967,1
10277102,1970,2
10277103,1988,2
10277104,1991,2
10277105,2001,2
10278101,1930,2
10278102,1934,1
10279101,1952,2
10279102,1944,1
10280101,1952,1
10280102,1964,2
10280103,1990,2
10280104,1992,2
10280105,1995,2
10281101,1977,1
10281102,1980,2
10281103,2003,1
10281104,2012,1
10281105,2012,1
10282001,1986,2
10282002,1957,2
10282003,1954,1
10282004,1987,1
10282005,2007,2
10282006,2012,1
10283101,1962,1
10283102,1971,2
10283103,1993,2
10284201,1945,1
10284202,1951,2
10284203,1991,2
10284204,1972,2
10284205,2008,1
10285101,1959,2
10285102,1957,1
10285103,1986,2
10285104,1988,1
10286101,1963,2
10286102,1962,1
10286103,1989,1
10286104,1991,2
10286105,1999,2
10287101,1963,2
10287102,1953,1
10287103,1992,1
10287104,2001,2
10288101,1949,1
10288102,1952,2
10288103,1979,1
10289001,1944,2
10289002,1946,1
10289003,1958,2
10290201,1976,2
10290202,1928,2
10291101,1955,2
10291102,1952,1
10292101,1977,2
10292102,1973,1
10292103,1996,1
10292104,2002,1
10292105,2007,1
