Persona:int,ComunaOrigen:int,ComunaDestino:int
17343102,94,94
17344101,94,71
17344101,71,94
17344103,94,91
17344103,91,94
17345101,94,70
17345101,70,94
17345101,94,94
17345101,94,94
17345102,94,94
17345102,94,94
17346201,94,94
17346201,94,94
17346201,94,94
17346201,94,94
17346202,94,94
17346202,94,94
17346203,94,94
17346203,94,94
17346204,94,94
17346204,94,94
17346205,94,94
17346205,94,94
17346206,94,82
17346206,82,94
17347101,94,70
17347101,70,94
17347102,94,70
17347102,70,94
17348101,94,70
17348101,70,94
17348101,94,94
17348101,94,94
17348103,94,70
17348103,70,94
17348104,94,70
17348104,70,94
17350201,94,333
17350201,333,94
17350201,94,94
17350201,94,94
17350201,94,94
17350201,94,94
17350202,94,333
17350202,333,94
17350202,94,94
17350202,94,94
17350202,94,94
17350202,94,94
17350203,94,75
17350203,75,94
17350204,94,70
17350204,70,94
17350204,94,94
17350205,94,75
17350205,75,94
17350206,94,70
17350206,70,94
17350206,94,94
17350207,94,0
17350207,0,94
17350207,94,94
10014002,72,103
10014003,103,103
10014003,103,103
10016101,103,103
10016101,103,103
10017001,103,103
10017001,103,103
10017002,103,330
10017002,330,103
10018001,103,103
10018001,103,103
10018001,103,103
10018001,103,103
10018002,103,103
10018002,103,103
10018002,103,103
10018002,103,103
10018003,103,93
10018003,93,103
10018004,103,103
10018004,103,103
10019201,103,328
10019201,328,103
10020001,103,103
10020001,103,103
10001001,103,103
10001001,103,103
10001002,103,103
10001002,103,103
10001002,103,103
10001002,103,103
10001002,103,103
10002001,103,103
10002001,103,103
10002001,103,103
10002001,103,103
10002002,103,103
10002002,103,103
10002003,103,87
10002003,87,103
10002004,103,103
10002004,103,103
10002005,103,103
10002005,103,103
10002005,103,103
10002005,103,103
10002005,103,103
10003001,103,103
10003001,103,103
10004101,103,103
10004101,103,103
10004102,103,103
10004102,103,103
10004103,103,103
10004103,103,103
10004104,103,103
10004104,103,103
10004105,103,93
10004105,93,103
10005201,103,70
10005201,70,103
10005203,103,103
10005203,103,103
10006102,103,103
10006102,103,103
10006103,103,103
10006103,103,103
10007001,103,103
10007001,103,103
10007001,103,103
