encuentro_id:int,encuentro_version_id:int,encuentro_location_id:int,encuentro_pokemon_id:int,encuentro_min:int,encuentro_max:int
1,12,1,72,20,30
2,12,1,278,20,30
3,12,1,73,20,40
4,12,1,279,20,40
5,12,1,279,20,40
6,12,1,129,4,6
7,12,1,129,3,7
8,12,1,129,5,10
9,12,1,129,5,10
10,12,1,129,5,10
11,12,1,129,15,20
12,12,1,456,15,20
13,12,1,129,10,25
14,12,1,456,10,25
15,12,1,456,10,25
16,12,1,130,30,40
17,12,1,457,30,40
18,12,1,120,20,40
19,12,1,457,20,50
20,12,1,457,20,50
21,12,2,54,20,30
22,12,2,54,20,40
23,12,2,55,30,40
24,12,2,55,30,40
25,12,2,55,20,40
26,12,2,129,4,6
27,12,2,129,3,7
28,12,2,129,5,10
29,12,2,129,5,10
30,12,2,129,5,10
31,12,2,129,15,20
32,12,2,339,15,20
33,12,2,129,10,25
34,12,2,339,10,25
35,12,2,339,10,25
36,12,2,130,30,40
37,12,2,340,30,40
38,12,2,130,40,55
39,12,2,340,20,50
40,12,2,340,20,50
41,12,3,72,20,30
42,12,3,278,20,30
43,12,3,73,20,40
44,12,3,279,20,40
45,12,3,279,20,40
46,12,3,129,4,6
47,12,3,129,3,7
48,12,3,129,5,10
49,12,3,129,5,10
50,12,3,129,5,10
51,12,3,129,15,20
52,12,3,223,15,20
53,12,3,129,10,25
54,12,3,223,10,25
55,12,3,223,10,25
56,12,3,130,30,40
57,12,3,224,30,40
58,12,3,130,40,55
59,12,3,224,20,50
60,12,3,224,20,50
61,12,4,73,35,45
62,12,4,279,35,45
63,12,4,458,30,40
64,12,4,458,30,40
65,12,4,458,35,45
66,12,4,129,4,6
67,12,4,129,3,7
68,12,4,129,5,10
69,12,4,129,5,10
70,12,4,129,5,10
71,12,4,129,15,20
72,12,4,223,15,20
73,12,4,129,10,25
74,12,4,223,10,25
75,12,4,223,10,25
76,12,4,130,30,40
77,12,4,224,30,40
78,12,4,120,20,40
